코드,매장명,전전월매출,전월매출
HMNBM,강남역점,118000000,124068000
HMNBM,정자점,80500000,82418375
HMNBM,위례점,60500000,62559000
HMNBM,서현점,51500000,53229500
HMNBM,하남미사점,48500000,49037000
HMNBM,흥덕점,45200000,43010400
HMNBM,보정점,41000000,41927000
HMNBM,역북점,34200000,35458000
HMNBM,수지점,30300000,31500000
HMNBM,광교법조점,28500000,27125000
HMNBM,과천점,26500000,27001000
HMNBM,센텀점,21800000,19275000
DRJ,선릉점,103719941,98054023
DRJ,본점,92529653,91265463
DRJ,신논현직영,83820345,86087151
DRJ,충무로점,78778321,74739666
DRJ,송파가락점,73862803,72795459
DRJ,아현점,70168628,71733314
DRJ,신도림점,67613342,71648437
DRJ,망원점,72110580,71391545
DRJ,목동점,71589860,70408125
DRJ,신풍역점,60590575,64302496
DRJ,화곡점,59786378,61894459
DRJ,잠실새내점,59233448,60112144
DRJ,장안점,50472530,52001749
DRJ,대흥점,49898964,51497799
DRJ,상봉점,49562371,51375786
DRJ,하남미사점,48669236,51315032
DRJ,다산점,53782275,51016468
DRJ,일산화정점,50241307,50780989
DRJ,다율점,46537316,50107133
DRJ,창동점,53507373,50077321
DRJ,일산식사점,47047482,48895960
DRJ,삼송점,52263379,48708385
DRJ,신영통점,48757343,48691795
DRJ,김포구래점,48505170,48306705
DRJ,일산주엽점,46506738,47904077
DRJ,방이점,49977760,47032491
DRJ,산성역점,42966845,45337919
DRJ,동탄역점,47623627,43880895
DRJ,가양역점,43123413,43711197
DRJ,용호빌리브점,43765551,43687297
DRJ,부천옥길점,41842550,43151182
DRJ,까치산점,40176851,43133090
DRJ,검단신도시점,41857117,43046883
DRJ,화성향남점,43427213,42688573
DRJ,용인동백점,43414915,42626619
DRJ,역촌점,42763665,42298377
DRJ,고양덕은점,40728193,41470365
DRJ,구미점,41763052,41438709
DRJ,가재울뉴타운점,39832760,41390523
DRJ,노원역점,39377327,40577091
DRJ,부산시청점,37548350,40297945
DRJ,부산명지점,36496822,38790751
DRJ,운양점,36524336,38712814
DRJ,김천점,39810278,38534959
DRJ,풍무점,37301399,38031401
DRJ,안양비산점,38379636,37932322
DRJ,양주옥정점,36771151,37614217
DRJ,김포걸포점,34895776,36807449
DRJ,길음점,34480733,34066355
DRJ,여수여서점,30775171,30748772
DRJ,파주운정점,28646200,29561937
DRJ,의정부고산점,30876560,28854217
DRJ,수지점,26238297,28041382
DRJ,정관점,24646767,26054919
DRJ,순천신대점,25238311,25948535
DRJ,울산매곡점,24522204,25531226
DRJ,광주첨단신용점,25064167,24775599
DRJ,대전시청점,21749463,22777030
MJD,수원인계점,114500000,113000000
MJD,인천구월점,88300000,78200000
MJD,산본점,86700000,87200000
MJD,명촌맛집점,84800000,70300000
MJD,봉명점,81300000,72500000
MJD,동남지구점,67500000,69500000
MJD,서면점,66700000,66400000
MJD,연산시청점,56400000,60100000
MJD,일광점,58500000,53300000
MJD,동래점,57100000,53700000
MJD,경남고성점,46500000,48000000
MJD,오류점,41500000,42300000
MJD,청라점,38000000,40500000
MJD,안성점,37600000,40200000
MJD,망포점,35400000,37500000
MJD,일산식사점,18500000,17200000
PAD,을지로본점,89500000,89400000
PAD,광화문점,82500000,82100000
PAD,강남대치점,78200000,78500000
PAD,판교점,72200000,71800000
YSK,명동점,78500000,77300000
YSK,죽전점,72500000,70300000
YSK,성수점,65800000,66000000
YSK,기흥점,58700000,59000000
YSK,목동점,53500000,52900000
YSK,노원점,53000000,52400000
YSK,김포공항점,48500000,46800000
YSK,파주점,46000000,45200000
YSK,광교상현점,43500000,41500000
YSK,구월점,35000000,33300000
YSK,중동점,29500000,27700000
YSK,안산점,27500000,26000000
YSK,춘천점,25500000,23500000
YSK,일산점,24000000,22500000
YSK,마곡점,22500000,20900000
CYHU,강동둔촌점,56500000,58300000
CYHU,송파방이점,47500000,48200000
CYHU,이촌점,42800000,42100000
CYHU,목동남부시장점,38500000,37900000
CYHU,울산태화시장점,35500000,34600000
CYHU,강동명일점,27500000,26200000
CYHU,수지구청점,26500000,25600000
CYHU,판교점,24500000,23800000
CYHU,상대점,19500000,20600000
CYHU,순천왕지점,19500000,18700000
CYHU,대전송촌점,17500000,16500000
CYHU,한민시장점,13500000,11500000
