코드,기준월,채널,예산(만원),집행(만원),성과
HMNBM,26.04,인플루언서,680,620,게재 12명 · 참여 5.2만
HMNBM,26.04,인스타(광고),450,430,도달 23.5만 · CTR 2.4%
HMNBM,26.04,유튜브(자체),200,180,조회 8.4만 · 구독 +850
HMNBM,26.04,인스타(자체),120,115,"팔로워 +1,240"
HMNBM,26.04,스마트플레이스,80,75,조회 12만
HMNBM,26.04,블로그,60,55,포스팅 8건
HMNBM,26.04,기사송출,50,50,노출 10건
HMNBM,26.04,홈페이지,30,25,방문 4.2만
DRJ,26.04,인플루언서,850,780,게재 8명 · 참여 3.8만
DRJ,26.04,인스타(광고),380,360,도달 18.2만 · CTR 1.9%
DRJ,26.04,유튜브(자체),320,305,조회 6.1만 · 구독 +620
DRJ,26.04,인스타(자체),150,140,팔로워 +780
DRJ,26.04,기사송출,120,115,경제지 12건
DRJ,26.04,블로그,80,70,포스팅 6건
DRJ,26.04,스마트플레이스,60,55,조회 8.7만
DRJ,26.04,홈페이지,40,40,방문 3.1만
MJD,26.04,인플루언서,1250,1180,셀럽 4명 · 참여 8.4만
MJD,26.04,인스타(광고),520,495,도달 31.2만 · CTR 2.8%
MJD,26.04,유튜브(자체),280,260,조회 11.5만
MJD,26.04,인스타(자체),180,170,"팔로워 +1,820"
MJD,26.04,기사송출,80,75,노출 8건
MJD,26.04,블로그,70,65,포스팅 5건
MJD,26.04,홈페이지,50,48,방문 5.3만
MJD,26.04,스마트플레이스,40,38,조회 6.4만
PAD,26.04,인플루언서,240,220,게재 3명 · 참여 1.2만
PAD,26.04,인스타(광고),180,170,도달 6.8만
PAD,26.04,유튜브(자체),80,70,조회 2.1만
PAD,26.04,인스타(자체),60,55,팔로워 +320
PAD,26.04,기사송출,60,60,노출 5건
PAD,26.04,블로그,40,35,포스팅 3건
PAD,26.04,스마트플레이스,30,28,조회 2.4만
PAD,26.04,홈페이지,20,18,방문 1.1만
YSK,26.04,인스타(광고),280,230,도달 9.4만 · CTR 1.2%
YSK,26.04,인플루언서,120,100,게재 2명 · 참여 0.8만
YSK,26.04,인스타(자체),80,70,팔로워 +180
YSK,26.04,유튜브(자체),60,45,조회 1.2만
YSK,26.04,기사송출,40,40,노출 4건
YSK,26.04,블로그,40,30,포스팅 2건
YSK,26.04,스마트플레이스,20,18,조회 1.6만
YSK,26.04,홈페이지,20,15,방문 0.8만
CYHU,26.04,인플루언서,480,440,게재 6명 · 참여 2.8만
CYHU,26.04,인스타(광고),320,300,도달 14.7만 · CTR 2.1%
CYHU,26.04,유튜브(자체),240,220,주간 시리즈 · 조회 5.4만
CYHU,26.04,인스타(자체),110,100,팔로워 +680
CYHU,26.04,기사송출,70,65,노출 7건
CYHU,26.04,블로그,60,55,포스팅 5건
CYHU,26.04,스마트플레이스,50,48,조회 5.1만
CYHU,26.04,홈페이지,40,35,방문 2.4만
